Sample Location,Decision Unit,Sample Type,Sample Depth (feet bgs),Sample ID,Sample Date,Chemical,Concentration,Detection
West Parcel,DU-8,ISM,0-1,DU-8 (0-1),44778,Lead,39.1,NA
West Parcel,DU-8,ISM,0-1,DU-8 (0-1),44778,Mercury,0.154,NA
West Parcel,DU-8,ISM,0-1,DU-8 (0-1),44778,Nickel,19.6,NA
West Parcel,DU-8,ISM,0-1,DU-8 (0-1),44778,Selenium,0.56,U
West Parcel,DU-8,ISM,0-1,DU-8 (0-1),44778,Zinc,144,NA
West Parcel,DU-8,ISM,1-2,DU-8 (1-2),44778,Antimony,0.501,U
West Parcel,DU-8,ISM,1-2,DU-8 (1-2),44778,Arsenic,4.13,NA
West Parcel,DU-8,ISM,1-2,DU-8 (1-2),44778,Chromium,24.6,NA
West Parcel,DU-8,ISM,1-2,DU-8 (1-2),44778,Copper,32.9,NA
West Parcel,DU-8,ISM,1-2,DU-8 (1-2),44778,Lead,31.4,NA
West Parcel,DU-8,ISM,1-2,DU-8 (1-2),44778,Mercury,0.164,NA
West Parcel,DU-8,ISM,1-2,DU-8 (1-2),44778,Nickel,19.7,NA
West Parcel,DU-8,ISM,1-2,DU-8 (1-2),44778,Selenium,0.501,U
West Parcel,DU-8,ISM,1-2,DU-8 (1-2),44778,Zinc,130,NA
West Parcel,DU-8,ISM,2-3,DU-8 (2-3),44778,Antimony,0.545,U
West Parcel,DU-8,ISM,2-3,DU-8 (2-3),44778,Arsenic,4.13,NA
West Parcel,DU-8,ISM,2-3,DU-8 (2-3),44778,Chromium,21.9,NA
West Parcel,DU-8,ISM,2-3,DU-8 (2-3),44778,Copper,32,NA
West Parcel,DU-8,ISM,2-3,DU-8 (2-3),44778,Lead,31,NA
West Parcel,DU-8,ISM,2-3,DU-8 (2-3),44778,Mercury,0.156,NA
West Parcel,DU-8,ISM,2-3,DU-8 (2-3),44778,Nickel,20.7,NA
West Parcel,DU-8,ISM,2-3,DU-8 (2-3),44778,Selenium,0.545,U
West Parcel,DU-8,ISM,2-3,DU-8 (2-3),44778,Zinc,126,NA
West Parcel,DU-9,ISM,0-1,DU-9 (0-1),44781,Antimony,0.623,J
West Parcel,DU-9,ISM,0-1,DU-9 (0-1),44781,Arsenic,5.25,NA
West Parcel,DU-9,ISM,0-1,DU-9 (0-1),44781,Chromium,30.6,NA
West Parcel,DU-9,ISM,0-1,DU-9 (0-1),44781,Copper,40.6,NA
West Parcel,DU-9,ISM,0-1,DU-9 (0-1),44781,Lead,28.2,NA
West Parcel,DU-9,ISM,0-1,DU-9 (0-1),44781,Mercury,0.16,NA
